date,active_user_count,transaction_count,total_amount,online_amount,late_night_amount,no_spending_user_count,average_amount_per_active_user,average_transaction_amount,online_ratio_percent,late_night_ratio_percent
2026-01-01,82,185,6284800,3124800.0,532800.0,18,76643.9024,33971.8919,49.72,8.4776
2026-01-02,87,205,7504000,3335100.0,1147100.0,13,86252.8736,36604.878,44.4443,15.2865
2026-01-03,86,179,5456900,3090200.0,1022000.0,14,63452.3256,30485.4749,56.6292,18.7286
2026-01-04,91,230,10931600,3863300.0,2257600.0,9,120127.4725,47528.6957,35.3407,20.6521
2026-01-05,98,367,18432000,11858000.0,343000.0,2,188081.6327,50223.4332,64.3338,1.8609
2026-01-06,92,220,5189100,1269700.0,482500.0,8,56403.2609,23586.8182,24.4686,9.2983
2026-01-07,88,204,10153000,3160600.0,3668300.0,12,115375.0,49769.6078,31.1297,36.1302
2026-01-08,93,217,8105300,3012100.0,544700.0,7,87153.7634,37351.6129,37.1621,6.7203
2026-01-09,79,214,6279800,2600600.0,1137000.0,21,79491.1392,29344.8598,41.4121,18.1057
2026-01-10,98,394,21536500,11783900.0,1554600.0,2,219760.2041,54661.1675,54.7159,7.2184
2026-01-11,89,231,6924800,3079100.0,899900.0,11,77806.7416,29977.4892,44.4648,12.9953
2026-01-12,93,225,6249100,2601200.0,486300.0,7,67194.6237,27773.7778,41.6252,7.7819
2026-01-13,85,221,5284100,2180000.0,417800.0,15,62165.8824,23909.9548,41.2558,7.9067
2026-01-14,81,185,5109500,1292100.0,489800.0,19,63080.2469,27618.9189,25.2882,9.5861
2026-01-15,99,418,23139500,13754600.0,1008700.0,1,233732.3232,55357.6555,59.4421,4.3592
2026-01-16,84,203,5275800,2709800.0,898800.0,16,62807.1429,25989.1626,51.3628,17.0363
2026-01-17,87,223,5671500,2387100.0,625600.0,13,65189.6552,25432.7354,42.0894,11.0306
2026-01-18,90,205,8810800,3473000.0,397400.0,10,97897.7778,42979.5122,39.4175,4.5104
2026-01-19,82,182,5475900,1886200.0,290900.0,18,66779.2683,30087.3626,34.4455,5.3124
2026-01-20,100,409,22245400,12084000.0,1664800.0,0,222454.0,54389.7311,54.3213,7.4838
2026-01-21,83,189,5719700,1429800.0,1605000.0,17,68912.0482,30262.963,24.9978,28.0609
2026-01-22,89,194,7301300,3055700.0,1874200.0,11,82037.0787,37635.567,41.8515,25.6694
2026-01-23,78,173,5862500,3085900.0,546900.0,22,75160.2564,33887.2832,52.638,9.3288
2026-01-24,84,214,6286200,2650200.0,743900.0,16,74835.7143,29374.7664,42.159,11.8339
2026-01-25,99,378,25296300,13535500.0,134200.0,1,255518.1818,66921.4286,53.5078,0.5305
2026-01-26,87,187,4264600,1912900.0,148300.0,13,49018.3908,22805.3476,44.8553,3.4775
2026-01-27,84,181,5792200,2953400.0,640800.0,16,68954.7619,32001.105,50.9893,11.0632
2026-01-28,95,330,15900400,5473400.0,1639600.0,5,167372.6316,48183.0303,34.423,10.3117
2026-01-29,87,205,5134500,2301800.0,419000.0,13,59017.2414,25046.3415,44.8301,8.1605
2026-01-30,84,192,6413000,2978100.0,700300.0,16,76345.2381,33401.0417,46.4385,10.92
2026-01-31,86,201,6526500,2064000.0,364700.0,14,75889.5349,32470.1493,31.6249,5.588
2026-02-01,94,238,7566600,1459800.0,664800.0,6,80495.7447,31792.437,19.2927,8.786
2026-02-02,83,235,6545900,2945500.0,735900.0,17,78866.2651,27854.8936,44.9976,11.2422
2026-02-03,94,238,9082100,2289100.0,1680500.0,6,96618.0851,38160.084,25.2045,18.5034
2026-02-04,87,233,7394000,3565600.0,433300.0,13,84988.5057,31733.9056,48.2229,5.8602
2026-02-05,100,410,21915200,11435100.0,350600.0,0,219152.0,53451.7073,52.1789,1.5998
2026-02-06,91,236,5672200,2031100.0,374000.0,9,62331.8681,24034.7458,35.808,6.5936
2026-02-07,87,220,5421600,2141400.0,562600.0,13,62317.2414,24643.6364,39.4976,10.377
2026-02-08,93,239,7530300,2441400.0,394300.0,7,80970.9677,31507.5314,32.421,5.2362
2026-02-09,93,231,6199000,2843800.0,1225000.0,7,66655.914,26835.4978,45.8751,19.7613
2026-02-10,97,424,22512700,12951100.0,442600.0,3,232089.6907,53095.9906,57.528,1.966
2026-02-11,90,237,7349900,4644100.0,961900.0,10,81665.5556,31012.2363,63.1859,13.0873
2026-02-12,91,245,8065300,4656200.0,968000.0,9,88629.6703,32919.5918,57.7313,12.002
2026-02-13,85,235,7839800,4257400.0,791500.0,15,92232.9412,33360.8511,54.305,10.0959
2026-02-14,85,220,6213200,3226900.0,460000.0,15,73096.4706,28241.8182,51.9362,7.4036
2026-02-15,98,428,21694100,14523700.0,360800.0,2,221368.3673,50687.1495,66.9477,1.6631
2026-02-16,91,246,9922700,2215800.0,2274000.0,9,109040.6593,40336.1789,22.3306,22.9171
2026-02-17,91,240,8556200,4533300.0,696800.0,9,94024.1758,35650.8333,52.9826,8.1438
2026-02-18,88,229,5587000,1275900.0,571400.0,12,63488.6364,24397.3799,22.8369,10.2273
2026-02-19,88,239,5416100,2088900.0,701500.0,12,61546.5909,22661.5063,38.5683,12.9521
2026-02-20,98,445,24698700,15330800.0,586400.0,2,252027.551,55502.6966,62.0713,2.3742
2026-02-21,95,226,7405100,2801700.0,235800.0,5,77948.4211,32765.9292,37.8347,3.1843
2026-02-22,88,227,9609200,2345700.0,439700.0,12,109195.4545,42331.2775,24.411,4.5758
2026-02-23,88,235,5378900,2270100.0,393200.0,12,61123.8636,22888.9362,42.2038,7.31
2026-02-24,87,237,7625400,1750800.0,855200.0,13,87648.2759,32174.6835,22.9601,11.2151
2026-02-25,97,440,24089700,14014400.0,918200.0,3,248347.4227,54749.3182,58.1759,3.8116
2026-02-26,93,234,6300700,2308100.0,496200.0,7,67749.4624,26926.0684,36.6324,7.8753
2026-02-27,87,205,4861000,2201000.0,707000.0,13,55873.5632,23712.1951,45.2787,14.5443
2026-02-28,100,368,15825100,7763100.0,967800.0,0,158251.0,43002.9891,49.0556,6.1156
2026-03-01,85,228,6579600,2681600.0,414600.0,15,77407.0588,28857.8947,40.7563,6.3013
2026-03-02,89,236,9315400,3801100.0,2109300.0,11,104667.4157,39472.0339,40.8045,22.6432
2026-03-03,87,213,5531200,3023400.0,821500.0,13,63577.0115,25968.0751,54.6608,14.8521
2026-03-04,88,204,4646700,1332500.0,358000.0,12,52803.4091,22777.9412,28.6763,7.7044
2026-03-05,97,400,23433000,11451000.0,553500.0,3,241577.3196,58582.5,48.867,2.3621
2026-03-06,89,226,7872900,2345500.0,1262200.0,11,88459.5506,34835.8407,29.7921,16.0322
2026-03-07,86,201,7166400,3640800.0,377300.0,14,83330.2326,35653.7313,50.8038,5.2648
2026-03-08,86,194,4125800,1678700.0,365900.0,14,47974.4186,21267.0103,40.6879,8.8686
2026-03-09,84,201,5754700,2912700.0,1136500.0,16,68508.3333,28630.3483,50.6143,19.7491
2026-03-10,98,378,21812300,14507900.0,508300.0,2,222574.4898,57704.4974,66.5125,2.3303
2026-03-11,88,193,5082500,2857300.0,903800.0,12,57755.6818,26334.1969,56.2184,17.7826
2026-03-12,87,214,5851300,2773500.0,407200.0,13,67256.3218,27342.5234,47.3997,6.9591
2026-03-13,89,212,5731600,2190500.0,700800.0,11,64400.0,27035.8491,38.2179,12.227
2026-03-14,94,242,7426200,3524700.0,213400.0,6,79002.1277,30686.7769,47.463,2.8736
2026-03-15,97,361,19263000,11616900.0,1670000.0,3,198587.6289,53360.1108,60.3068,8.6695
2026-03-16,91,231,7077300,1977600.0,716200.0,9,77772.5275,30637.6623,27.9429,10.1197
2026-03-17,91,229,8558600,2609200.0,471600.0,9,94050.5495,37373.7991,30.4863,5.5102
2026-03-18,88,221,9138400,2846400.0,807200.0,12,103845.4545,41350.2262,31.1477,8.8331
2026-03-19,91,217,5655300,2156100.0,418900.0,9,62146.1538,26061.2903,38.1253,7.4072
2026-03-20,98,406,19897400,13185900.0,229800.0,2,203034.6939,49008.3744,66.2695,1.1549
2026-03-21,91,228,7105100,2056600.0,654800.0,9,78078.022,31162.7193,28.9454,9.2159
2026-03-22,87,214,7202800,2817000.0,582700.0,13,82790.8046,33657.9439,39.1098,8.0899
2026-03-23,86,192,5869800,2242700.0,1533000.0,14,68253.4884,30571.875,38.2074,26.1167
2026-03-24,90,240,8576300,2640300.0,587400.0,10,95292.2222,35734.5833,30.786,6.8491
2026-03-25,98,404,25898400,14564100.0,561300.0,2,264269.3878,64104.9505,56.2355,2.1673
2026-03-26,89,237,7140300,1934600.0,625200.0,11,80228.0899,30127.8481,27.0941,8.7559
2026-03-27,88,208,7212700,2414700.0,259900.0,12,81962.5,34676.4423,33.4784,3.6034
2026-03-28,98,348,16557900,5275600.0,2231200.0,2,168958.1633,47580.1724,31.8615,13.4751
2026-03-29,87,232,6461200,3040300.0,547800.0,13,74266.6667,27850.0,47.0547,8.4783
2026-03-30,88,213,5159200,2239700.0,569900.0,12,58627.2727,24221.5962,43.4118,11.0463
2026-03-31,85,223,8492500,4333300.0,737800.0,15,99911.7647,38082.9596,51.025,8.6877
2026-04-01,86,209,7849100,3374300.0,614300.0,14,91268.6047,37555.5024,42.9896,7.8264
2026-04-02,89,220,6389800,1680900.0,286300.0,11,71795.5056,29044.5455,26.306,4.4806
2026-04-03,86,218,7712500,2755900.0,1827200.0,14,89680.2326,35378.4404,35.7329,23.6914
2026-04-04,91,228,9631600,2705100.0,2308100.0,9,105841.7582,42243.8596,28.0857,23.9638
2026-04-05,97,440,22669200,12069600.0,531900.0,3,233703.0928,51520.9091,53.2423,2.3464
2026-04-06,87,212,6196400,1964700.0,548100.0,13,71222.9885,29228.3019,31.7071,8.8455
2026-04-07,79,218,8495400,3501100.0,1738300.0,21,107536.7089,38969.7248,41.2117,20.4617
2026-04-08,87,212,6728100,2524700.0,381300.0,13,77334.4828,31736.3208,37.5247,5.6673
2026-04-09,87,218,7260000,2688600.0,453800.0,13,83448.2759,33302.7523,37.0331,6.2507
2026-04-10,95,413,23772100,14115900.0,364600.0,5,250232.6316,57559.5642,59.3801,1.5337
2026-04-11,95,241,8941400,2998200.0,1001600.0,5,94120.0,37101.2448,33.5317,11.2018
2026-04-12,83,188,6531400,2910900.0,599000.0,17,78691.5663,34741.4894,44.5678,9.1711
2026-04-13,89,201,6433300,3217100.0,828800.0,11,72284.2697,32006.4677,50.007,12.883
2026-04-14,82,220,7159500,3489400.0,1167300.0,18,87310.9756,32543.1818,48.738,16.3042
2026-04-15,97,417,23223200,12768900.0,1063700.0,3,239414.433,55691.1271,54.9834,4.5803
2026-04-16,88,227,6795400,2133400.0,2272300.0,12,77220.4545,29935.6828,31.3948,33.4388
2026-04-17,92,230,7876200,1953500.0,687300.0,8,85610.8696,34244.3478,24.8026,8.7263
2026-04-18,90,223,6436900,3106200.0,304900.0,10,71521.1111,28865.0224,48.2561,4.7368
2026-04-19,84,214,4818000,1505800.0,407300.0,16,57357.1429,22514.0187,31.2536,8.4537
2026-04-20,100,427,26125600,15524400.0,668200.0,0,261256.0,61184.0749,59.4222,2.5576
2026-04-21,85,215,5393400,2221000.0,837400.0,15,63451.7647,25085.5814,41.18,15.5264
2026-04-22,94,245,6190700,2271400.0,1402800.0,6,65858.5106,25268.1633,36.6905,22.6598
2026-04-23,91,209,7649000,2344900.0,1828500.0,9,84054.9451,36598.0861,30.6563,23.9051
2026-04-24,86,190,7777000,1918600.0,246000.0,14,90430.2326,40931.5789,24.6702,3.1632
2026-04-25,99,393,21684700,13344900.0,494000.0,1,219037.3737,55177.3537,61.5406,2.2781
2026-04-26,86,200,5100900,2225200.0,462400.0,14,59312.7907,25504.5,43.6237,9.0651
2026-04-27,84,192,6972300,1807100.0,470300.0,16,83003.5714,36314.0625,25.9183,6.7453
2026-04-28,97,314,12833000,4611200.0,515300.0,3,132298.9691,40869.4268,35.9324,4.0154
2026-04-29,89,201,4898100,1477200.0,376500.0,11,55034.8315,24368.6567,30.1586,7.6867
2026-04-30,93,248,5824400,2053000.0,679600.0,7,62627.957,23485.4839,35.2483,11.6682
