id,user_id,amount,transaction_time,description,merchant_name,is_installment,installment_months,is_interest_free,status,is_overseas,category,payment_channel
1,25,8200,2026-01-01 08:10:05,카페 및 디저트 결제,파리바게뜨,False,0,False,APPROVED,False,식비,ONLINE
2,81,18700,2026-01-01 08:17:49,주유 및 차량 유지,현대오일뱅크,False,0,False,APPROVED,False,교통,OFFLINE
3,27,7100,2026-01-01 08:23:15,카페 및 디저트 결제,파리바게뜨,False,0,False,APPROVED,False,식비,OFFLINE
4,99,1800,2026-01-01 08:27:16,카페 및 디저트 결제,스타벅스,False,0,False,APPROVED,False,식비,OFFLINE
5,30,8500,2026-01-01 08:34:55,외식/배달 결제,동남구 초밥집,False,0,False,APPROVED,False,식비,OFFLINE
6,82,23600,2026-01-01 08:46:36,대중교통/택시 이용,카카오T,False,0,False,APPROVED,False,교통,OFFLINE
7,45,22300,2026-01-01 08:55:12,주유 및 차량 유지,GS칼텍스,False,0,False,APPROVED,False,교통,OFFLINE
8,74,3600,2026-01-01 08:58:01,외식/배달 결제,흥덕구 동네한식당,False,0,False,APPROVED,False,식비,OFFLINE
9,23,3100,2026-01-01 09:14:21,주유 및 차량 유지,GS칼텍스,False,0,False,APPROVED,False,교통,ONLINE
10,47,2100,2026-01-01 09:38:05,약국 결제,서울-송파구 동네약국,False,0,False,APPROVED,False,의료,OFFLINE
11,79,6500,2026-01-01 09:46:01,미용 서비스 결제,서울-마포구 미용실,False,0,False,APPROVED,False,생활,OFFLINE
12,14,1000,2026-01-01 09:54:59,철도/버스 이용,고속버스,False,0,False,APPROVED,False,교통,OFFLINE
13,30,7000,2026-01-01 10:04:42,생활 서비스 결제,문구점,False,0,False,APPROVED,False,생활,OFFLINE
14,29,1000,2026-01-01 10:12:58,생활 서비스 결제,주민센터수수료,False,0,False,APPROVED,False,생활,OFFLINE
15,80,60900,2026-01-01 10:40:10,자격증 응시료,자격증응시료,False,0,False,APPROVED,False,교육,OFFLINE
16,54,19500,2026-01-01 10:51:47,생활 서비스 결제,반려용품점,False,0,False,APPROVED,False,생활,OFFLINE
17,56,18000,2026-01-01 11:28:29,생활 쇼핑 결제,다이소,False,0,False,APPROVED,False,쇼핑,OFFLINE
18,53,27600,2026-01-01 11:32:46,생활 쇼핑 결제,롯데백화점,False,0,False,APPROVED,False,쇼핑,ONLINE
